IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:a9:30:9c2e:bb5e:4921:5439,4,4,0.00,177.06,59.97
2606:4700:a9:cef0:68fc:d797:9329:3ff1,4,4,0.00,177.48,57.29
2606:4700:a9:cef0:6818:6cd5:f253:da6,4,4,0.00,177.47,52.71
2606:4700:a9:0:57:c05d:cd76:9b85,4,4,0.00,176.64,48.85
2606:4700:a9:0:57:cf23:3cf3:22ab,4,4,0.00,177.45,46.34
2606:4700:a9:0:144b:14a:86af:7b56,4,4,0.00,174.79,44.60
2606:4700:a9:0:3714:3f16:675b:5647,4,4,0.00,177.70,44.35
2606:4700:a9:ce20:2236:cd5c:6db1:82e0,4,4,0.00,177.54,43.67
2606:4700:a9:0:3714:2553:1279:e174,4,4,0.00,176.03,41.96
2606:4700:a9:ce20:252e:d936:577e:3120,4,4,0.00,177.79,39.37
